종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"53,900","-2,000","3.58","4,658,076,350","1,181,981,400,600"
195940,HK이노엔,"40,450","-450","1.10","4,977,832,775","1,145,944,090,950"
028300,HLB,"53,200","-2,700","4.83","23,038,929,500","6,991,814,575,200"
115450,HLB테라퓨틱스,"7,320","-240","3.17","2,306,696,560","617,595,002,640"
403870,HPSP,"22,050","-1,300","5.57","8,850,956,675","1,841,143,424,400"
095340,ISC,"49,750","-2,650","5.06","8,096,984,700","1,054,553,635,500"
035900,JYP Ent.,"72,100","-1,700","2.30","19,244,408,050","2,561,892,673,200"
035600,KG이니시스,"8,740","-120","1.35","210,103,510","240,825,753,160"
417200,LS머트리얼즈,"10,590","-350","3.20","2,157,447,590","716,441,658,810"
060250,NHN KCP,"7,500","-210","2.72","565,898,755","301,204,582,500"
218410,RFHIC,"15,670","-330","2.06","404,279,540","415,011,206,140"
036540,SFA반도체,"2,960","-105","3.43","804,736,909","486,802,496,880"
067160,SOOP,"83,200","-400","0.48","2,535,257,000","956,364,614,400"
399720,가온칩스,"40,250","-1,250","3.01","1,317,892,600","466,792,130,000"
098460,고영,"17,000","-1,200","6.59","34,484,624,585","1,167,130,835,000"
215000,골프존,"65,100","-200","0.31","483,578,650","408,529,516,500"
420770,기가비스,"25,550","450","1.79","622,770,050","323,865,616,900"
121600,나노신소재,"51,600","500","0.98","2,728,569,650","629,410,504,800"
253590,네오셈,"9,510","-260","2.66","1,613,008,785","417,195,749,640"
095660,네오위즈,"24,750","50","0.20","1,881,167,425","540,956,196,000"
007390,네이처셀,"23,350","-100","0.43","8,836,122,075","1,502,739,592,600"
033640,네패스,"7,530","-410","5.16","536,118,490","173,635,791,060"
348210,넥스틴,"53,800","-2,700","4.78","3,835,571,350","563,662,869,000"
225570,넥슨게임즈,"12,490","-320","2.50","1,831,691,755","822,593,573,260"
032190,다우데이타,"13,420","-20","0.15","1,317,832,235","513,986,000,000"
068240,다원시스,"8,160","-70","0.85","509,985,950","311,413,645,920"
078600,대주전자재료,"73,200","-1,300","1.74","5,605,955,250","1,133,179,407,600"
393890,더블유씨피,"8,060","-180","2.18","1,811,896,365","272,775,740,640"
213420,덕산네오룩스,"31,850","-1,550","4.64","3,552,740,425","790,873,051,150"
317330,덕산테코피아,"19,300","150","0.78","1,441,775,070","395,198,071,200"
194480,데브시스터즈,"35,900","-850","2.31","1,673,590,150","437,913,585,000"
086450,동국제약,"16,630","-520","3.03","3,911,844,240","746,416,513,050"
005290,동진쎄미켐,"29,100","-400","1.36","9,462,178,000","1,496,161,775,400"
025900,동화기업,"8,100","-50","0.61","256,645,890","409,514,008,500"
131970,두산테스나,"23,150","-700","2.94","1,848,206,125","447,425,559,700"
376300,디어유,"48,700","-1,300","2.60","10,657,519,375","1,156,060,372,200"
281740,레이크머티리얼즈,"12,130","-60","0.49","2,052,989,785","797,311,547,240"
277810,레인보우로보틱스,"272,000","-24,500","8.26","75,122,942,750","5,276,761,376,000"
328130,루닛,"47,100","-1,150","2.38","7,701,302,650","1,372,961,137,800"
141080,리가켐바이오,"99,700","-3,400","3.30","18,561,945,700","3,650,050,698,600"
058470,리노공업,"38,700","-1,600","3.97","9,520,197,000","2,949,398,595,000"
267980,매일유업,"36,700","-550","1.48","314,771,000","287,861,514,600"
215200,메가스터디교육,"52,600","-500","0.94","913,421,000","566,548,656,200"
086900,메디톡스,"165,600","-4,100","2.42","10,585,851,600","1,208,631,103,200"
140410,메지온,"38,500","-1,350","3.39","4,903,313,700","1,155,282,590,000"
118990,모트렉스,"9,120","-150","1.62","546,421,310","226,741,348,800"
095500,미래나노텍,"7,530","-170","2.21","482,338,680","233,505,292,470"
053030,바이넥스,"16,180","-800","4.71","6,015,407,160","528,830,161,840"
064550,바이오니아,"16,510","660","4.16","1,988,783,210","426,127,904,410"
310210,보로노이,"105,300","-6,800","6.07","13,053,637,200","1,936,303,679,700"
018290,브이티,"40,150","0","0.00","12,309,273,750","1,437,289,981,050"
000250,삼천당제약,"139,100","-8,900","6.01","34,558,125,200","3,262,934,355,200"
006730,서부T&D,"6,280","-30","0.48","965,949,115","414,021,076,440"
046890,서울반도체,"6,540","-140","2.10","706,999,365","381,317,316,000"
178320,서진시스템,"23,200","100","0.43","13,510,294,625","1,304,952,532,800"
171090,선익시스템,"37,350","-950","2.48","1,083,802,375","356,207,136,750"
015750,성우하이텍,"5,380","-150","2.71","1,284,070,640","430,400,000,000"
365340,성일하이텍,"32,850","-1,950","5.60","1,037,675,550","399,997,203,750"
108860,셀바스AI,"13,450","-230","1.68","1,806,500,585","362,003,925,500"
068760,셀트리온제약,"46,650","-750","1.58","2,141,135,400","2,037,358,418,700"
357780,솔브레인,"169,000","-8,900","5.00","4,491,272,050","1,314,577,654,000"
036830,솔브레인홀딩스,"30,600","-1,800","5.56","1,468,551,100","641,500,113,600"
253450,스튜디오드래곤,"43,050","-650","1.49","3,793,469,450","1,294,018,338,900"
025320,시노펙스,"6,200","-210","3.28","2,124,701,820","545,547,734,000"
065350,신성델타테크,"58,400","-900","1.52","5,729,132,400","1,605,062,563,200"
257720,실리콘투,"37,050","-900","2.37","39,370,119,175","2,266,419,191,400"
222800,심텍,"16,250","-690","4.07","2,477,494,690","517,629,823,750"
222080,씨아이에스,"6,970","-140","1.97","1,341,116,795","539,281,717,830"
352480,씨앤씨인터내셔널,"35,100","-1,450","3.97","1,875,716,900","351,489,329,100"
096530,씨젠,"31,800","850","2.75","34,813,481,275","1,660,786,609,200"
025980,아난티,"6,800","90","1.34","2,962,505,115","602,680,450,400"
099190,아이센스,"16,650","-460","2.69","712,157,175","461,459,295,450"
084850,아이티엠반도체,"11,700","-350","2.90","331,535,890","265,390,327,800"
114840,아이패밀리에스씨,"17,960","-690","3.70","1,597,198,545","311,065,404,000"
053800,안랩,"59,900","-600","0.99","2,701,530,300","666,477,709,400"
196170,알테오젠,"319,000","1,500","0.47","64,099,885,250","17,008,706,132,000"
101490,에스앤에스텍,"35,000","-1,550","4.24","3,494,058,700","750,800,645,000"
056190,에스에프에이,"21,750","-400","1.81","1,355,550,450","781,015,530,000"
041510,에스엠,"118,800","-900","0.75","10,733,235,150","2,719,889,172,000"
237690,에스티팜,"71,400","-1,400","1.92","4,719,048,400","1,438,916,203,200"
058610,에스피지,"24,825","-1,425","5.43","6,597,963,450","550,552,962,000"
298380,에이비엘바이오,"62,500","2,000","3.31","40,732,177,900","3,033,000,437,500"
101360,에코앤드림,"22,500","-50","0.22","1,642,151,800","400,187,565,000"
086520,에코프로,"43,950","-100","0.23","18,364,437,500","5,967,361,880,400"
247540,에코프로비엠,"93,500","-800","0.85","19,565,819,950","9,144,425,664,000"
383310,에코프로에이치엔,"25,550","-500","1.92","1,201,660,050","535,909,512,600"
036810,에프에스티,"18,050","-630","3.37","830,365,340","396,312,081,400"
348370,엔켐,"63,000","600","0.96","12,229,746,100","1,335,241,089,000"
290650,엘앤씨바이오,"22,250","-150","0.67","1,419,103,350","515,726,497,750"
058970,엠로,"49,650","-1,550","3.03","2,407,333,475","612,445,212,150"
039200,오스코텍,"26,800","300","1.13","1,910,467,700","1,025,051,116,800"
394280,오픈엣지테크놀로지,"12,240","-420","3.32","560,497,900","269,322,766,560"
232140,와이씨,"9,600","-340","3.42","2,942,506,175","787,635,360,000"
122870,와이지엔터테인먼트,"72,700","-1,800","2.42","8,688,773,100","1,358,839,262,300"
041190,우리기술투자,"6,950","-240","3.34","4,507,434,640","583,800,000,000"
240810,원익IPS,"22,250","-800","3.47","2,748,897,025","1,092,116,797,250"
074600,원익QnC,"16,830","-470","2.72","1,927,557,790","442,427,040,000"
336570,원텍,"9,110","-180","1.94","7,568,979,945","814,789,399,320"
069080,웹젠,"13,520","-510","3.64","498,984,355","467,803,951,680"
112040,위메이드,"24,200","-550","2.22","1,656,687,850","821,553,288,600"
084370,유진테크,"31,750","-1,850","5.51","7,188,906,400","727,584,333,500"
179900,유티아이,"20,200","-550","2.65","633,676,670","362,643,105,800"
372170,윤성에프앤씨,"29,100","-450","1.52","653,382,500","232,190,296,800"
272290,이녹스첨단소재,"22,400","-950","4.07","1,976,756,975","453,099,539,200"
091120,이엠텍,"11,500","90","0.79","561,114,915","197,028,764,000"
039030,이오테크닉스,"132,400","-5,600","4.06","8,711,865,950","1,631,108,420,000"
049070,인탑스,"15,810","-490","3.01","577,993,925","271,932,000,000"
189300,인텔리안테크,"37,450","-1,400","3.60","1,630,264,900","401,963,358,300"
033100,제룡전기,"31,100","-1,150","3.57","4,245,733,975","499,540,919,900"
204270,제이앤티씨,"15,250","-600","3.79","1,818,256,705","882,189,106,500"
418550,제이오,"8,790","-150","1.68","417,780,190","281,435,345,670"
080220,제주반도체,"13,000","-580","4.27","3,332,749,090","447,756,829,000"
082270,젬백스,"36,750","-600","1.61","7,876,894,150","1,521,672,741,750"
036930,주성엔지니어링,"33,400","-1,700","4.84","14,288,898,825","1,578,761,921,400"
144510,지씨셀,"20,000","170","0.86","599,246,575","316,006,880,000"
358570,지아이이노베이션,"17,470","-1,130","6.08","11,830,914,780","1,076,401,349,310"
085660,차바이오텍,"10,760","-240","2.18","2,723,906,800","605,943,406,680"
278280,천보,"34,550","-400","1.14","547,282,625","345,500,000,000"
094360,칩스앤미디어,"16,240","-590","3.51","1,246,466,785","342,962,393,760"
