종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
097950,CJ제일제당,"226,500","-3,000","1.31","13,956,840,000","3,409,773,129,000"
005830,DB손해보험,"96,000","-1,100","1.13","7,738,672,950","6,796,800,000,000"
383220,F&F,"68,400","-400","0.58","2,635,694,300","2,620,203,930,000"
078930,GS,"39,100","100","0.26","2,487,453,150","3,632,991,279,800"
009540,HD한국조선해양,"286,500","-500","0.17","28,297,607,250","20,276,497,734,000"
267250,HD현대,"82,900","700","0.85","9,067,973,050","6,548,526,746,500"
267260,HD현대일렉트릭,"351,000","-14,000","3.84","66,378,290,750","12,652,544,385,000"
329180,HD현대중공업,"421,500","2,000","0.48","39,118,417,000","37,417,868,394,000"
011200,HMM,"22,500","-450","1.96","35,029,688,000","23,063,388,660,000"
105560,KB금융,"94,900","1,300","1.39","73,300,686,650","37,345,847,342,700"
030200,KT,"51,700","300","0.58","9,030,710,600","13,029,521,114,500"
033780,KT&G,"117,800","-1,900","1.59","22,165,295,550","14,378,962,146,600"
003550,LG,"68,200","-400","0.58","4,068,781,200","10,724,529,453,000"
034220,LG디스플레이,"8,330","-240","2.80","3,895,758,515","4,165,000,000,000"
051900,LG생활건강,"311,000","-5,000","1.58","4,452,223,000","4,857,259,267,000"
373220,LG에너지솔루션,"291,000","500","0.17","38,034,342,250","68,094,000,000,000"
032640,LG유플러스,"12,800","-130","1.01","8,096,380,125","5,588,625,420,800"
011070,LG이노텍,"143,800","-3,700","2.51","7,790,197,800","3,403,329,986,600"
066570,LG전자,"70,100","-1,200","1.68","13,159,150,500","11,471,711,761,400"
051910,LG화학,"195,600","2,000","1.03","57,285,879,000","13,807,862,290,800"
079550,LIG넥스원,"402,500","-2,500","0.62","37,250,824,500","8,855,000,000,000"
010120,LS ELECTRIC,"233,000","-10,000","4.12","41,579,556,750","6,990,000,000,000"
035420,NAVER,"184,900","-2,900","1.54","40,243,628,650","29,295,002,779,200"
005940,NH투자증권,"15,570","-480","2.99","4,970,510,735","5,099,055,095,430"
005490,POSCO홀딩스,"243,500","-4,000","1.62","31,915,919,250","19,707,173,812,000"
010950,S-Oil,"51,150","-150","0.29","4,613,212,200","5,758,609,810,800"
034730,SK,"139,000","1,900","1.39","16,691,395,350","10,077,875,717,000"
011790,SKC,"95,800","-2,900","2.94","13,201,911,700","3,627,782,948,400"
302440,SK바이오사이언스,"41,600","1,500","3.74","10,816,335,900","3,260,156,432,000"
326030,SK바이오팜,"89,300","-1,400","1.54","6,170,065,400","6,993,373,225,000"
402340,SK스퀘어,"99,300","-3,300","3.22","18,412,464,300","13,161,307,199,400"
361610,SK아이이테크놀로지,"22,150","-100","0.45","1,862,135,625","1,579,241,662,800"
096770,SK이노베이션,"87,400","0","0.00","17,237,851,050","13,200,439,422,400"
017670,SK텔레콤,"51,400","-800","1.53","38,721,939,600","11,040,208,724,200"
